year,month,day,hour,day_of_week,Temperature (C)
2006,4,12,13,2,11.066666666666668
2006,4,12,14,2,10.116666666666667
2006,4,12,15,2,11.038888888888888
2006,4,12,16,2,10.65
2006,4,12,17,2,10.050000000000002
2006,4,12,18,2,9.9
2006,4,12,19,2,8.794444444444444
2006,4,12,20,2,7.827777777777779
2006,4,12,21,2,7.855555555555556
2006,4,12,22,2,7.316666666666667
2006,4,12,23,2,7.244444444444444
2006,4,13,0,3,5.438888888888888
2006,4,13,1,3,7.200000000000001
2006,4,13,2,3,6.688888888888888
2006,4,13,3,3,6.211111111111111
2006,4,13,4,3,6.111111111111111
2006,4,13,5,3,6.111111111111111
2006,4,13,6,3,6.172222222222222
2006,4,13,7,3,7.222222222222222
2006,4,13,8,3,7.288888888888888
2006,4,13,9,3,7.405555555555555
2006,4,13,10,3,7.96111111111111
2006,4,13,11,3,8.033333333333335
2006,4,13,12,3,9.07777777777778
2006,4,13,13,3,9.05
2006,4,13,14,3,9.05
2006,4,13,15,3,9.183333333333334
2006,4,13,16,3,9.07222222222222
2006,4,13,17,3,7.983333333333332
2006,4,13,18,3,8.072222222222223
2006,4,13,19,3,7.894444444444446
2006,4,13,20,3,7.311111111111109
2006,4,13,21,3,7.33888888888889
2006,4,13,22,3,6.622222222222224
2006,4,13,23,3,6.066666666666667
2006,4,14,0,4,8.338888888888887
2006,4,14,1,4,5.183333333333333
2006,4,14,2,4,3.722222222222224
2006,4,14,3,4,4.855555555555557
2006,4,14,4,4,5.211111111111112
2006,4,14,5,4,6.255555555555555
2006,4,14,6,4,7.794444444444445
2006,4,14,7,4,10.050000000000002
2006,4,14,8,4,12.2
2006,4,14,9,4,12.7
2006,4,14,10,4,13.933333333333332
2006,4,14,11,4,15.094444444444449
2006,4,14,12,4,15.150000000000002
2006,4,14,13,4,16.177777777777777
2006,4,14,14,4,16.25
2006,4,14,15,4,16.29444444444444
2006,4,14,16,4,16.099999999999998
2006,4,14,17,4,12.955555555555556
2006,4,14,18,4,13.85
2006,4,14,19,4,12.77777777777778
2006,4,14,20,4,12.15
2006,4,14,21,4,10.677777777777775
2006,4,14,22,4,10.444444444444445
2006,4,14,23,4,9.822222222222225
2006,4,15,0,5,11.02777777777778
2006,4,15,1,5,7.138888888888889
2006,4,15,2,5,7.622222222222222
2006,4,15,3,5,7.627777777777775
2006,4,15,4,5,7.044444444444444
2006,4,15,5,5,8.599999999999998
2006,4,15,6,5,9.65
2006,4,15,7,5,12.105555555555554
2006,4,15,8,5,12.77777777777778
2006,4,15,9,5,13.81111111111111
2006,4,15,10,5,16.016666666666666
2006,4,15,11,5,17.127777777777776
2006,4,15,12,5,17.144444444444446
2006,4,15,13,5,17.77777777777778
2006,4,15,14,5,17.77777777777778
2006,4,15,15,5,17.805555555555557
2006,4,15,16,5,16.15555555555555
2006,4,15,17,5,14.05
2006,4,15,18,5,13.08888888888889
2006,4,15,19,5,12.288888888888888
2006,4,15,20,5,12.77777777777778
2006,4,15,21,5,12.727777777777776
2006,4,15,22,5,12.266666666666666
2006,4,15,23,5,11.71111111111111
2006,4,16,0,6,10.82777777777778
2006,4,16,1,6,12.2
2006,4,16,2,6,12.2
2006,4,16,3,6,11.688888888888888
2006,4,16,4,6,11.205555555555556
2006,4,16,5,6,11.133333333333333
2006,4,16,6,6,11.43888888888889
2006,4,16,7,6,13.033333333333337
2006,4,16,8,6,17.244444444444444
2006,4,16,9,6,17.73888888888889
2006,4,16,10,6,17.84444444444445
2006,4,16,11,6,18.86111111111111
2006,4,16,12,6,18.666666666666664
2006,4,16,13,6,17.82222222222222
2006,4,16,14,6,17.800000000000004
2006,4,16,15,6,17.349999999999998
2006,4,16,16,6,16.06666666666667
2006,4,16,17,6,14.933333333333334
2006,4,16,18,6,13.922222222222224
2006,4,16,19,6,12.755555555555556
2006,4,16,20,6,12.755555555555556
2006,4,16,21,6,12.372222222222224
2006,4,16,22,6,11.183333333333334
2006,4,16,23,6,11.666666666666666
2006,4,17,0,0,8.977777777777776
2006,4,17,1,0,10.577777777777776
2006,4,17,2,0,10.533333333333337
2006,4,17,3,0,10.58888888888889
2006,4,17,4,0,9.983333333333333
2006,4,17,5,0,11.022222222222224
2006,4,17,6,0,13.538888888888888
2006,4,17,7,0,13.88888888888889
2006,4,17,8,0,15.0
2006,4,17,9,0,17.183333333333334
2006,4,17,10,0,16.2
2006,4,17,11,0,17.75
2006,4,17,12,0,18.40555555555555
2006,4,17,13,0,17.82222222222222
2006,4,17,14,0,17.31111111111111
2006,4,17,15,0,17.505555555555553
2006,4,17,16,0,17.266666666666666
2006,4,17,17,0,15.13888888888889
2006,4,17,18,0,13.25
2006,4,17,19,0,12.294444444444444
2006,4,17,20,0,10.699999999999998
2006,4,17,21,0,9.855555555555558
2006,4,17,22,0,9.522222222222222
2006,4,17,23,0,8.405555555555557
2006,4,18,0,1,13.011111111111113
2006,4,18,1,1,7.733333333333334
2006,4,18,2,1,6.138888888888888
2006,4,18,3,1,6.472222222222221
2006,4,18,4,1,6.627777777777777
2006,4,18,5,1,8.68888888888889
2006,4,18,6,1,11.994444444444447
2006,4,18,7,1,13.766666666666667
2006,4,18,8,1,15.088888888888889
2006,4,18,9,1,16.455555555555556
2006,4,18,10,1,17.31111111111111
2006,4,18,11,1,17.872222222222224
2006,4,18,12,1,19.038888888888884
2006,4,18,13,1,18.97777777777777
2006,4,18,14,1,19.00555555555555
2006,4,18,15,1,19.01111111111111
2006,4,18,16,1,17.866666666666664
2006,4,18,17,1,17.266666666666666
2006,4,18,18,1,16.188888888888886
2006,4,18,19,1,14.883333333333333
2006,4,18,20,1,14.327777777777776
2006,4,18,21,1,14.511111111111113
2006,4,18,22,1,14.372222222222222
2006,4,18,23,1,14.877777777777778
2006,4,19,0,2,10.405555555555551
2006,4,19,1,2,12.82222222222222
2006,4,19,2,2,12.8
2006,4,19,3,2,12.82777777777778
2006,4,19,4,2,12.266666666666666
2006,4,19,5,2,12.266666666666666
2006,4,19,6,2,12.183333333333334
2006,4,19,7,2,12.17222222222222
2006,4,19,8,2,12.711111111111112
2006,4,19,9,2,15.605555555555558
2006,4,19,10,2,16.022222222222226
2006,4,19,11,2,17.200000000000003
2006,4,19,12,2,17.21666666666667
2006,4,19,13,2,17.82777777777778
2006,4,19,14,2,17.82777777777778
2006,4,19,15,2,17.733333333333334
2006,4,19,16,2,16.272222222222222
2006,4,19,17,2,13.166666666666668
2006,4,19,18,2,13.255555555555556
2006,4,19,19,2,13.011111111111113
2006,4,19,20,2,12.455555555555556
2006,4,19,21,2,12.488888888888887
2006,4,1,22,5,9.555555555555555
2006,4,1,23,5,10.622222222222222
2006,4,2,0,6,8.722222222222223
2006,4,2,1,6,10.533333333333337
2006,4,2,2,6,9.444444444444445
2006,4,2,3,6,9.888888888888888
2006,4,2,4,6,10.366666666666664
2006,4,2,5,6,8.88888888888889
2006,4,2,6,6,9.97777777777778
2006,4,2,7,6,12.2
2006,4,2,8,6,13.961111111111112
2006,4,2,9,6,14.944444444444445
2006,4,2,10,6,16.183333333333334
2006,4,2,11,6,16.366666666666667
2006,4,2,12,6,17.372222222222224
2006,4,2,13,6,17.672222222222224
2006,4,2,14,6,17.72222222222222
2006,4,2,15,6,16.238888888888887
2006,4,2,16,6,14.066666666666666
2006,4,2,17,6,13.955555555555556
2006,4,2,18,6,12.288888888888888
2006,4,2,19,6,10.02222222222222
2006,4,2,20,6,9.377777777777778
2006,4,2,21,6,9.416666666666668
2006,4,19,22,2,11.827777777777776
2006,4,19,23,2,10.761111111111113
2006,4,20,0,3,12.155555555555557
2006,4,20,1,3,9.67222222222222
2006,4,20,2,3,8.15
2006,4,20,3,3,10.2
2006,4,20,4,3,10.116666666666667
2006,4,20,5,3,10.16111111111111
2006,4,20,6,3,11.244444444444447
2006,4,20,7,3,12.244444444444444
2006,4,20,8,3,13.91111111111111
2006,4,20,9,3,15.616666666666667
2006,4,20,10,3,15.072222222222225
2006,4,20,11,3,15.072222222222225
2006,4,20,12,3,14.266666666666667
2006,4,20,13,3,16.016666666666666
2006,4,20,14,3,15.02777777777778
2006,4,20,15,3,13.944444444444445
2006,4,20,16,3,12.916666666666666
2006,4,20,17,3,12.894444444444446
2006,4,20,18,3,12.4
2006,4,20,19,3,12.266666666666666
2006,4,20,20,3,12.22222222222222
2006,4,20,21,3,11.25
2006,4,20,22,3,11.52777777777778
2006,4,20,23,3,11.538888888888891
2006,4,21,0,4,9.43888888888889
2006,4,21,1,4,11.43888888888889
2006,4,21,2,4,11.394444444444442
2006,4,21,3,4,11.52777777777778
2006,4,21,4,4,11.949999999999998
2006,4,21,5,4,11.97222222222222
2006,4,21,6,4,12.633333333333336
2006,4,21,7,4,12.755555555555556
2006,4,21,8,4,13.844444444444443
2006,4,21,9,4,13.172222222222224
2006,4,21,10,4,15.066666666666666
2006,4,21,11,4,17.244444444444444
2006,4,21,12,4,16.316666666666666
2006,4,21,13,4,17.383333333333333
2006,4,21,14,4,15.272222222222224
2006,4,21,15,4,17.45555555555556
2006,4,21,16,4,16.22222222222222
2006,4,21,17,4,15.083333333333334
2006,4,21,18,4,13.994444444444444
2006,4,21,19,4,12.17222222222222
2006,4,21,20,4,11.08888888888889
2006,4,21,21,4,11.094444444444443
2006,4,21,22,4,9.883333333333333
2006,4,21,23,4,9.355555555555558
2006,4,22,0,5,9.86111111111111
2006,4,22,1,5,8.272222222222222
2006,4,22,2,5,8.866666666666667
2006,4,22,3,5,8.816666666666666
2006,4,22,4,5,7.155555555555556
2006,4,22,5,5,8.850000000000001
2006,4,22,6,5,11.177777777777775
2006,4,22,7,5,12.388888888888888
2006,4,22,8,5,14.144444444444446
2006,4,22,9,5,17.1
2006,4,22,10,5,18.93888888888889
2006,4,22,11,5,17.916666666666668
2006,4,22,12,5,19.98333333333333
2006,4,22,13,5,20.07222222222222
2006,4,22,14,5,20.07222222222222
2006,4,22,15,5,20.083333333333336
2006,4,22,16,5,19.08888888888889
2006,4,22,17,5,17.45
2006,4,22,18,5,15.56666666666667
2006,4,22,19,5,12.494444444444447
2006,4,22,20,5,12.244444444444444
2006,4,22,21,5,11.416666666666664
2006,4,22,22,5,10.555555555555555
2006,4,22,23,5,10.466666666666669
2006,4,23,0,6,10.250000000000002
2006,4,23,1,6,9.355555555555558
2006,4,23,2,6,8.311111111111112
2006,4,23,3,6,8.81111111111111
2006,4,23,4,6,8.733333333333333
2006,4,23,5,6,11.93333333333333
2006,4,23,6,6,14.516666666666667
2006,4,23,7,6,18.73333333333333
2006,4,23,8,6,20.02777777777778
2006,4,23,9,6,21.03888888888889
2006,4,23,10,6,20.738888888888887
2006,4,23,11,6,22.31666666666667
2006,4,23,12,6,22.11111111111111
2006,4,23,13,6,22.73333333333333
2006,4,23,14,6,22.77777777777778
2006,4,23,15,6,21.216666666666665
2006,4,23,16,6,20.18333333333333
2006,4,23,17,6,18.011111111111113
2006,4,23,18,6,17.422222222222224
2006,4,23,19,6,13.961111111111112
2006,4,23,20,6,13.28888888888889
2006,4,23,21,6,12.322222222222225
2006,4,23,22,6,11.116666666666664
2006,4,23,23,6,10.533333333333337
2006,4,24,0,0,12.383333333333333
2006,4,24,1,0,9.86111111111111
2006,4,24,2,0,8.872222222222222
2006,4,24,3,0,8.672222222222222
2006,4,24,4,0,7.688888888888891
2006,4,24,5,0,10.911111111111111
2006,4,24,6,0,14.83888888888889
2006,4,24,7,0,18.8
2006,4,24,8,0,21.094444444444445
2006,4,24,9,0,22.027777777777786
2006,4,24,10,0,22.82777777777778
2006,4,24,11,0,22.916666666666668
2006,4,24,12,0,23.916666666666668
2006,4,24,13,0,23.911111111111115
2006,4,24,14,0,23.93333333333333
2006,4,24,15,0,23.916666666666668
2006,4,24,16,0,22.82222222222222
2006,4,24,17,0,21.22777777777777
2006,4,24,18,0,19.07777777777778
2006,4,24,19,0,17.061111111111114
2006,4,24,20,0,14.905555555555551
2006,4,24,21,0,13.083333333333332
2006,4,24,22,0,12.711111111111112
2006,4,24,23,0,12.127777777777776
2006,4,25,0,1,11.81111111111111
2006,4,25,1,1,12.016666666666667
2006,4,25,2,1,12.044444444444444
2006,4,25,3,1,10.627777777777778
2006,4,25,4,1,9.911111111111111
2006,4,25,5,1,12.555555555555555
2006,4,25,6,1,15.005555555555553
2006,4,25,7,1,17.33888888888889
2006,4,25,8,1,19.1
2006,4,25,9,1,21.261111111111106
2006,4,25,10,1,22.41111111111111
2006,4,25,11,1,22.938888888888894
2006,4,25,12,1,23.927777777777774
2006,4,25,13,1,23.96111111111111
2006,4,25,14,1,23.96111111111111
2006,4,25,15,1,23.111111111111107
2006,4,25,16,1,22.82222222222222
2006,4,25,17,1,21.11111111111111
2006,4,25,18,1,18.188888888888886
2006,4,25,19,1,16.016666666666666
2006,4,25,20,1,15.466666666666669
2006,4,25,21,1,14.605555555555554
2006,4,25,22,1,13.311111111111112
2006,4,25,23,1,12.733333333333334
2006,4,26,0,2,13.788888888888888
2006,4,26,1,2,10.577777777777776
2006,4,26,2,2,10.483333333333333
2006,4,26,3,2,10.288888888888891
2006,4,26,4,2,9.972222222222223
2006,4,26,5,2,13.638888888888888
2006,4,26,6,2,16.73888888888889
2006,4,26,7,2,18.83888888888889
2006,4,26,8,2,21.16111111111111
2006,4,26,9,2,22.58888888888889
2006,4,26,10,2,22.89444444444444
2006,4,26,11,2,24.00555555555555
2006,4,26,12,2,24.00555555555555
2006,4,26,13,2,23.97777777777777
2006,4,26,14,2,25.04444444444444
2006,4,26,15,2,24.07777777777778
2006,4,26,16,2,22.38333333333334
2006,4,26,17,2,21.20555555555556
2006,4,26,18,2,18.261111111111116
2006,4,26,19,2,17.200000000000003
2006,4,26,20,2,15.994444444444444
2006,4,26,21,2,15.961111111111109
2006,4,26,22,2,15.444444444444445
2006,4,26,23,2,14.372222222222222
2006,4,27,0,3,13.605555555555558
2006,4,27,1,3,12.82222222222222
2006,4,27,2,3,12.750000000000002
2006,4,27,3,3,11.416666666666664
2006,4,27,4,3,12.333333333333336
2006,4,27,5,3,14.905555555555551
2006,4,27,6,3,15.894444444444446
2006,4,27,7,3,17.227777777777774
2006,4,27,8,3,17.82777777777778
2006,4,27,9,3,17.916666666666668
2006,4,27,10,3,19.05555555555556
2006,4,27,11,3,20.14444444444445
2006,4,27,12,3,20.26111111111111
2006,4,27,13,3,21.20555555555556
2006,4,27,14,3,21.25555555555556
2006,4,27,15,3,20.23333333333333
2006,4,27,16,3,19.07777777777778
2006,4,27,17,3,17.944444444444443
2006,4,27,18,3,15.494444444444444
2006,4,27,19,3,14.144444444444446
2006,4,27,20,3,14.538888888888891
2006,4,27,21,3,14.138888888888893
2006,4,27,22,3,13.4
2006,4,27,23,3,13.42777777777778
2006,4,28,0,4,11.588888888888889
2006,4,28,1,4,14.422222222222224
2006,4,28,2,4,13.916666666666664
2006,4,28,3,4,13.4
2006,4,28,4,4,13.866666666666667
2006,4,28,5,4,14.905555555555551
2006,4,28,6,4,15.933333333333334
2006,4,28,7,4,17.127777777777776
2006,4,28,8,4,18.75
2006,4,28,9,4,18.96111111111111
2006,4,28,10,4,19.994444444444444
2006,4,28,11,4,21.11111111111111
2006,4,28,12,4,21.094444444444445
2006,4,28,13,4,21.17777777777778
2006,4,28,14,4,21.22777777777777
2006,4,28,15,4,20.100000000000005
2006,4,28,16,4,19.02777777777778
2006,4,28,17,4,17.849999999999998
2006,4,28,18,4,16.261111111111113
2006,4,28,19,4,14.983333333333333
2006,4,28,20,4,14.466666666666663
2006,4,28,21,4,13.944444444444445
2006,4,28,22,4,12.316666666666668
2006,4,28,23,4,11.761111111111113
2006,4,29,0,5,10.82777777777778
2006,4,29,1,5,10.13888888888889
2006,4,29,2,5,10.627777777777778
2006,4,29,3,5,10.605555555555558
2006,4,29,4,5,10.072222222222225
2006,4,29,5,5,11.161111111111111
2006,4,29,6,5,12.888888888888893
2006,4,29,7,5,15.050000000000002
2006,4,29,8,5,15.16111111111111
2006,4,29,9,5,16.272222222222222
2006,4,29,10,5,17.800000000000004
2006,4,29,11,5,17.938888888888894
2006,4,29,12,5,18.855555555555554
2006,4,29,13,5,17.988888888888887
2006,4,29,14,5,17.96111111111111
2006,4,29,15,5,17.36111111111111
2006,4,29,16,5,16.25
2006,4,29,17,5,14.122222222222224
2006,4,29,18,5,12.95
2006,4,29,19,5,12.244444444444444
2006,4,29,20,5,11.688888888888888
2006,4,29,21,5,11.155555555555557
2006,4,2,22,6,9.216666666666669
2006,4,2,23,6,8.683333333333334
2006,4,3,0,0,9.188888888888888
2006,4,3,1,0,8.594444444444443
2006,4,3,2,0,7.505555555555554
2006,4,3,3,0,6.216666666666665
2006,4,3,4,0,5.855555555555555
2006,4,3,5,0,5.933333333333334
2006,4,3,6,0,10.405555555555551
2006,4,3,7,0,12.544444444444444
2006,4,3,8,0,13.861111111111112
2006,4,3,9,0,15.977777777777776
2006,4,3,10,0,17.266666666666666
2006,4,3,11,0,17.84444444444445
2006,4,3,12,0,16.427777777777777
2006,4,3,13,0,17.77777777777778
2006,4,3,14,0,17.84444444444445
2006,4,3,15,0,17.299999999999997
2006,4,3,16,0,15.18333333333333
2006,4,3,17,0,13.005555555555553
2006,4,3,18,0,12.694444444444445
2006,4,3,19,0,12.194444444444446
2006,4,3,20,0,12.083333333333334
2006,4,3,21,0,10.616666666666667
2006,4,29,22,5,11.6
2006,4,29,23,5,11.022222222222224
2006,4,30,0,6,11.88888888888889
2006,4,30,1,6,10.416666666666666
2006,4,30,2,6,10.3
2006,4,30,3,6,9.483333333333333
2006,4,30,4,6,9.772222222222224
2006,4,30,5,6,10.933333333333334
2006,4,30,6,6,11.655555555555551
2006,4,30,7,6,13.93888888888889
2006,4,30,8,6,15.02777777777778
2006,4,30,9,6,16.038888888888888
2006,4,30,10,6,15.227777777777776
2006,4,30,11,6,16.20555555555556
2006,4,30,12,6,17.299999999999997
2006,4,30,13,6,17.77777777777778
2006,4,30,14,6,17.800000000000004
2006,4,30,15,6,17.26111111111111
2006,4,30,16,6,17.200000000000003
2006,4,30,17,6,15.02222222222222
2006,4,30,18,6,13.927777777777775
2006,4,30,19,6,12.366666666666664
2006,4,30,20,6,12.294444444444444
2006,4,30,21,6,12.788888888888891
2006,4,3,22,0,9.533333333333331
2006,4,3,23,0,9.972222222222223
2006,4,4,0,1,4.911111111111113
2006,4,4,1,1,7.916666666666667
2006,4,4,2,1,7.383333333333332
2006,4,4,3,1,7.972222222222222
2006,4,4,4,1,8.816666666666666
2006,4,4,5,1,8.794444444444444
2006,4,4,6,1,7.88888888888889
2006,4,4,7,1,7.799999999999999
2006,4,4,8,1,7.822222222222221
2006,4,4,9,1,7.944444444444443
2006,4,4,10,1,8.077777777777776
2006,4,4,11,1,10.227777777777776
2006,4,4,12,1,11.361111111111112
2006,4,4,13,1,12.449999999999998
2006,4,4,14,1,12.916666666666666
2006,4,4,15,1,12.550000000000002
2006,4,4,16,1,12.383333333333333
2006,4,4,17,1,10.227777777777776
2006,4,4,18,1,9.227777777777778
2006,4,4,19,1,7.827777777777779
2006,4,4,20,1,6.67777777777778
2006,4,4,21,1,6.122222222222224
2006,4,4,22,1,5.327777777777779
2006,4,4,23,1,4.355555555555558
2006,4,5,0,2,9.27222222222222
2006,4,5,1,2,4.261111111111112
2006,4,5,2,2,3.2166666666666663
2006,4,5,3,2,3.905555555555556
2006,4,5,4,2,2.7111111111111126
2006,4,5,5,2,3.816666666666665
2006,4,5,6,2,6.883333333333334
2006,4,5,7,2,8.93888888888889
2006,4,5,8,2,11.205555555555556
2006,4,5,9,2,12.85
2006,4,5,10,2,13.961111111111112
2006,4,5,11,2,14.97777777777778
2006,4,5,12,2,14.02777777777778
2006,4,5,13,2,15.02222222222222
2006,4,5,14,2,15.044444444444444
2006,4,5,15,2,15.088888888888889
2006,4,5,16,2,14.949999999999998
2006,4,5,17,2,13.816666666666666
2006,4,5,18,2,12.916666666666666
2006,4,5,19,2,13.838888888888889
2006,4,5,20,2,12.755555555555556
2006,4,5,21,2,12.650000000000002
2006,4,5,22,2,11.688888888888888
2006,4,5,23,2,10.627777777777778
2006,4,6,0,3,5.666666666666668
2006,4,6,1,3,10.050000000000002
2006,4,6,2,3,9.97777777777778
2006,4,6,3,3,9.77777777777778
2006,4,6,4,3,8.661111111111113
2006,4,6,5,3,7.550000000000002
2006,4,6,6,3,7.233333333333336
2006,4,6,7,3,6.044444444444446
2006,4,6,8,3,6.094444444444444
2006,4,6,9,3,6.116666666666665
2006,4,6,10,3,6.066666666666667
2006,4,6,11,3,6.038888888888888
2006,4,6,12,3,6.888888888888888
2006,4,6,13,3,7.061111111111112
2006,4,6,14,3,6.038888888888888
2006,4,6,15,3,6.072222222222222
2006,4,6,16,3,5.044444444444443
2006,4,6,17,3,5.022222222222222
2006,4,6,18,3,5.033333333333335
2006,4,6,19,3,5.0
2006,4,6,20,3,4.977777777777778
2006,4,6,21,3,4.933333333333335
2006,4,6,22,3,4.466666666666666
2006,4,6,23,3,4.444444444444445
2006,4,7,0,4,4.01111111111111
2006,4,7,1,4,4.905555555555555
2006,4,7,2,4,4.883333333333333
2006,4,7,3,4,4.388888888888888
2006,4,7,4,4,4.8388888888888895
2006,4,7,5,4,4.811111111111109
2006,4,7,6,4,4.944444444444444
2006,4,7,7,4,7.200000000000001
2006,4,7,8,4,7.777777777777778
2006,4,7,9,4,8.72777777777778
2006,4,7,10,4,8.983333333333334
2006,4,7,11,4,10.0
2006,4,7,12,4,10.094444444444443
2006,4,7,13,4,11.06111111111111
2006,4,7,14,4,10.13888888888889
2006,4,7,15,4,11.011111111111113
2006,4,7,16,4,10.116666666666667
2006,4,7,17,4,7.916666666666667
2006,4,7,18,4,7.333333333333335
2006,4,7,19,4,5.050000000000002
2006,4,7,20,4,3.933333333333332
2006,4,7,21,4,4.094444444444443
2006,4,7,22,4,3.800000000000002
2006,4,7,23,4,2.688888888888891
2006,4,8,0,5,5.0666666666666655
2006,4,8,1,5,2.6
2006,4,8,2,5,1.583333333333334
2006,4,8,3,5,2.155555555555557
2006,4,8,4,5,0.9555555555555548
2006,4,8,5,5,0.9555555555555548
2006,4,8,6,5,5.594444444444445
2006,4,8,7,5,9.822222222222225
2006,4,8,8,5,11.072222222222225
2006,4,8,9,5,11.055555555555555
2006,4,8,10,5,12.244444444444444
2006,4,8,11,5,12.85
2006,4,8,12,5,12.888888888888893
2006,4,8,13,5,12.916666666666666
2006,4,8,14,5,13.88888888888889
2006,4,8,15,5,13.02222222222222
2006,4,8,16,5,12.383333333333333
2006,4,8,17,5,10.205555555555556
2006,4,8,18,5,9.144444444444446
2006,4,8,19,5,7.827777777777779
2006,4,8,20,5,7.733333333333334
2006,4,8,21,5,7.144444444444444
2006,4,8,22,5,6.016666666666666
2006,4,8,23,5,5.46111111111111
2006,4,9,0,6,8.244444444444447
2006,4,9,1,6,3.838888888888887
2006,4,9,2,6,2.244444444444444
2006,4,9,3,6,2.0222222222222226
2006,4,9,4,6,2.1722222222222203
2006,4,9,5,6,3.661111111111113
2006,4,9,6,6,6.111111111111111
2006,4,9,7,6,10.005555555555553
2006,4,9,8,6,12.244444444444444
2006,4,9,9,6,12.938888888888888
2006,4,9,10,6,13.983333333333334
2006,4,9,11,6,15.094444444444449
2006,4,9,12,6,16.25
2006,4,9,13,6,17.266666666666666
2006,4,9,14,6,17.288888888888888
2006,4,9,15,6,17.38888888888889
2006,4,9,16,6,17.288888888888888
2006,4,9,17,6,15.088888888888889
2006,4,9,18,6,11.71111111111111
2006,4,9,19,6,11.161111111111111
2006,4,9,20,6,10.027777777777777
2006,4,9,21,6,10.13888888888889
2006,7,31,22,0,21.016666666666666
2006,7,31,23,0,19.444444444444443
2006,8,1,0,1,20.72222222222222
2006,8,1,1,1,18.79444444444444
2006,8,1,2,1,17.733333333333334
2006,8,1,3,1,17.605555555555554
2006,8,1,4,1,18.73333333333333
2006,8,1,5,1,22.555555555555557
2006,8,1,6,1,24.761111111111106
2006,8,1,7,1,27.17222222222222
2006,8,1,8,1,28.911111111111115
2006,8,1,9,1,30.95555555555556
2006,8,1,10,1,32.17222222222222
2006,8,1,11,1,32.12777777777777
2006,8,1,12,1,31.98333333333333
2006,8,1,13,1,32.538888888888884
2006,8,1,14,1,31.977777777777774
2006,8,1,15,1,32.01111111111111
2006,8,1,16,1,30.944444444444443
2006,8,1,17,1,28.572222222222223
2006,8,1,18,1,27.09444444444444
2006,8,1,19,1,24.694444444444443
2006,8,1,20,1,24.13888888888889
